Name,Email,PhoneNum,Age,Password,Role
Bob,bobby@gmail.com,12349872,22,"123",0
Ah Ming,ahming@yahoo.com.sg,13491111,67,"123",0
William,william@gmail.com,12331282,16,"123",0
dogg,pingpong@asda.com,123123,44,"12312",0
tim,tim@gmail.com,90001111,20,"1234",0
abc,abc@gmail.com,90002222,23,"123",0
lol,lol@gmail.com,123,55,"12a",0
lol,lol1@gmail.com,123,44,"12a",0
lol,lol2@gmail.com,12,12,"12a",0
lol2,lol3@gmail.com,1212,12,"12a",0
dog,dog@gmail.com,12,32,"12a",0
lmao,dog2@gmail.com,123,122,"12a",0
dog,dog3@gmail.com,123,23,"1,a",0
